account,144801,145402,150001,150601,151201,151802,152402
jeef,16461.0,16461.0,16461.0,16461.0,16461.0,16461.0,16461.0
BeterBabbit,15725.0,15725.0,15725.0,15725.0,15725.0,15725.0,15725.0
An1honysch2,14546.0,14546.0,14546.0,14546.0,14546.0,14546.0,14546.0
herusia,13295.0,13348.0,13348.0,13348.0,13348.0,13348.0,13407.0
Waterloooooo,13007.0,13007.0,13007.0,13007.0,13007.0,13007.0,13007.0
